Player,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40
Kaleena Mosqueda-Lewis,SEA,31,4,14,2.1,5.3,0.399,0.9,2.6,0.341,1.2,2.6,0.457,0.485,0.5,0.5,1,0.3,1.2,0.5,0.3,0.2,1.2,1.3,5.5,18.7,0.544,0.077,0.408,11,16.4,7.2,1.8,4.6,14.1,20.8,1.4,1.2,2.6,0.157
Jaime Nared,LVA,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,1,0,1.4,0.244,0.027,0.243,6.9,9,8.8,1.5,2,14.6,12.6,-0.5,0.2,-0.2,-0.052
Astou Ndour,CHI,21,11,17.5,2.8,5.6,0.492,0.7,1.6,0.424,2.1,4,0.518,0.551,0.6,0.9,0.722,1.4,4.2,0.7,0.5,0.7,0.7,1.7,6.8,20.2,0.831,0.615,0.462,1.7,7.7,16,2.9,0,16.1,12,0.4,0.1,0.5,0.266
Kia Nurse,NYL,34,34,29.4,4.2,10.6,0.393,1.9,5.4,0.353,2.3,5.2,0.435,0.483,3.4,3.9,0.872,0.6,2.5,2.3,0.7,0.1,1.6,1.8,13.7,-10.8,0.127,0,0.286,4,4.1,6,2,3.1,33.7,20.2,-0.3,0,-0.2,-0.384
Arike Ogunbowale,DAL,33,28,32.1,6.5,16.7,0.388,1.7,4.9,0.352,4.8,11.8,0.404,0.44,4.4,5.4,0.815,0.6,2.4,3.2,1.1,0,2.1,2.6,19.1,10,0.472,0.427,0.133,1.9,6.1,18.9,1.5,0.4,14.6,18,0.1,1.1,1.2,0.056
Chiney Ogwumike,LAS,32,14,21.8,3.9,7.9,0.494,0,0.1,0.25,3.9,7.8,0.498,0.496,1.7,2.1,0.809,2.5,5.8,0.8,1,0.7,1.3,3.4,9.6,21.8,0.587,0.466,0.394,7.1,10,12,2.2,0.8,13.1,25.9,2.4,0.7,3,0.204
Nneka Ogwumike,LAS,32,32,27.9,6.5,12.7,0.51,0.7,2.1,0.338,5.8,10.6,0.544,0.538,2.4,2.9,0.828,2.3,8.8,1.8,1.9,0.5,1.8,2.9,16.1,20,0.65,0.7,0,4,3.9,18.9,1.8,2.9,0,15.3,0.1,0,0.2,0.258
Courtney Paris,SEA,30,0,6.3,0.2,0.5,0.4,0,0,,0.2,0.5,0.4,0.4,0.1,0.2,0.429,0.4,1.7,0.4,0.3,0.1,0.3,0.6,0.5,16.3,0.55,0,0.215,6.8,14.1,11.6,1.9,4.8,13.7,12.4,1.9,1.5,3.4,0.167
Candace Parker,LAS,22,22,26,4,9.6,0.422,0.7,2.7,0.267,3.3,6.9,0.483,0.46,2.4,3,0.791,1.1,6.4,3.5,1,0.8,2.5,1.8,11.2,17.8,0.632,0.522,0.156,1.6,5.8,14.5,1.4,0.5,11,18.7,3.2,0.5,3.7,0.154
Cheyenne Parker,CHI,34,0,19.7,3.1,6.9,0.459,0.1,0.5,0.278,3,6.3,0.474,0.47,2.4,2.8,0.842,1.8,5.8,0.9,0.7,1.2,1.3,2.4,8.8,11.3,0.572,0.038,0.316,12,11.9,5.4,1.1,0.9,19.6,13.3,0.5,0,0.4,0.047
