Player,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40
Natalie Achonwa,IND,30,18,21.2,3.3,6.8,0.488,0.1,0.4,0.25,3.2,6.4,0.503,0.495,2,2.2,0.909,1.6,5.2,1.6,0.6,0.7,1,2.6,8.7,19.3,0.562,0.059,0.325,9,14.2,13.4,1.5,2.6,11.1,18.5,2.1,0.6,2.7,0.173
Kayla Alexander,CHI,3,0,6.7,1,1.3,0.75,0,0,,1,1.3,0.75,0.75,1,1.3,0.75,0.7,2.3,0.3,0,0,0.3,1,3,20.9,0.781,0,1,11.9,19.6,7.9,0,0,14.8,14.7,0.1,0,0.1,0.264
Rebecca Allen,NYL,24,2,17.2,2.7,6.5,0.417,1.2,2.8,0.426,1.5,3.7,0.409,0.51,0.5,0.7,0.813,0.5,2.5,0.7,0.5,0.8,0.7,2.1,7.2,13.5,0.527,0.436,0.103,3.3,8.4,7.4,1.5,3.6,9.4,19.1,0.5,0.2,0.6,0.059
Jillian Alleyne,MIN,5,0,2.8,0.4,1.2,0.333,0,0,,0.4,1.2,0.333,0.333,0,0,,0.4,1,0.2,0,0.2,0,0,0.8,16,0.333,0,0,17.7,21.9,11.6,0,6.2,0,19.2,0,0,0,0.087
Kristine Anigwe,CON,17,0,7.1,0.6,2.1,0.314,0,0,,0.6,2.1,0.314,0.314,0.7,1,0.706,0.8,1.8,0.2,0.4,0.2,0.6,1,2,17,0.532,0.483,0.179,3.7,7,12.2,3.1,1.8,9.6,20,1.9,1.1,3,0.15
Kristine Anigwe,DAL,10,0,12.9,1.1,3.3,0.333,0,0,,1.1,3.3,0.333,0.333,1,1.5,0.667,1.4,3.6,0.3,0.3,0.4,0.7,2.2,3.2,3.4,0.342,0.188,0.063,1.6,2.8,15.3,1.6,0.6,15.4,22.4,-0.5,0.1,-0.4,-0.104
Kristine Anigwe,TOT,27,0,9.3,0.8,2.5,0.324,0,0,,0.8,2.5,0.324,0.324,0.8,1.2,0.688,1,2.4,0.2,0.3,0.3,0.6,1.4,2.4,4.7,0.435,0.626,0.113,0.3,4.9,11.4,1.2,0.5,17.7,18,-0.5,0.3,-0.2,-0.024
Ariel Atkins,WAS,33,33,24.4,3.7,9,0.416,1.5,4.3,0.357,2.2,4.6,0.471,0.502,1.3,1.6,0.811,0.7,2.8,2,1.5,0.5,1,2.2,10.3,10.3,0.491,0.102,0.184,1,5.8,14.8,2.6,1.1,14.5,11.7,0.2,0.4,0.5,0.087
Seimone Augustus,MIN,12,7,13,1.7,5.3,0.313,0.2,1,0.167,1.5,4.3,0.346,0.328,0.3,0.3,0.75,0.2,0.6,1.3,0.4,0.1,1,0.4,3.8,-5.9,0,1,0,0,5.6,12,0,0,50,8.2,-0.1,0,0,-0.162
Rachel Banham,CON,29,0,12.2,1.3,4,0.322,0.8,2.5,0.306,0.5,1.5,0.349,0.417,0.3,0.4,0.692,0,1,0.9,0.3,0.1,0.9,1.2,3.6,8.8,0.384,0.421,0.108,1.6,4.5,28.1,1.7,1.1,11.5,26.7,-1.4,0.4,-1,-0.063
Alana Beard,LAS,16,3,14.7,1.4,3.1,0.449,0.1,0.3,0.2,1.3,2.8,0.477,0.459,0.4,0.6,0.778,0.1,1.5,1.4,0.8,0.2,0.6,1.3,3.3,2.9,0.37,0.679,0.25,0,3.3,16.1,1.4,0,20.5,16.3,-0.2,0,-0.3,-0.109
Kenisha Bell,MIN,3,0,3.7,0,0.3,0,0,0.3,0,0,0,,0,0,0,,0,0.3,0.3,0,0,0.3,0.3,0,11.7,0.469,0.007,0.417,11.5,19.3,5.4,1.6,1.7,21.3,17.3,-0.3,1,0.7,0.049
Alex Bentley,ATL,29,4,21.9,3.4,11.1,0.307,1.1,4.7,0.235,2.3,6.4,0.358,0.356,1,1.2,0.857,0.3,1.9,3,0.7,0.3,1.5,1.9,9,20.6,0.507,0.379,0.331,3.6,13.4,16.2,2.1,1.5,8.4,26.7,2.2,1.8,4,0.144
Tiffany Bias,NYL,12,0,8.8,0.6,2.3,0.25,0.3,1.6,0.158,0.3,0.8,0.444,0.304,0.5,0.6,0.857,0,0.5,0.9,0.3,0,0.7,0.6,1.9,13,0.449,0.128,0.189,4.7,10.6,38.2,3.6,0.5,29.4,18.6,-0.6,0.6,0,0.002
Monique Billings,ATL,29,2,19.1,1.9,5,0.389,0,0,1,1.9,4.9,0.385,0.392,1.6,2.1,0.783,2.1,6.9,0.6,0.6,0.4,1.6,2.3,5.5,14.8,0.486,0.037,0.128,14.3,19,10.4,2.7,4.5,22.8,19.9,-0.2,0.6,0.4,0.047
DeWanna Bonner,PHO,34,34,32.9,5.6,14.8,0.377,1.5,5.6,0.272,4.1,9.2,0.441,0.429,4.5,4.9,0.916,1,7.6,2.7,1.3,0.6,1.6,1.6,17.2,15.2,0.425,0.138,0.12,5.7,16.6,14.2,2.8,3.6,11.6,18.9,-0.4,1.9,1.5,0.076
Brittany Boyd,NYL,33,17,19.7,2.2,5.5,0.394,0.2,0.7,0.304,1.9,4.8,0.408,0.414,0.8,1,0.765,0.8,3.7,4.6,1.4,0.1,2.5,2.1,5.3,15.9,0.54,0.009,0.407,10.3,14.8,7.4,1.2,4.9,17.9,19.2,0.5,0.7,1.2,0.128
Imani McGee-Stafford,DAL,29,6,11.9,1.8,3.8,0.468,0,0.1,0.25,1.7,3.6,0.476,0.472,0.3,0.5,0.643,1.5,3.8,0.6,0.6,0.6,1.2,2,3.9,13.4,0.554,0.646,0.182,1.4,4.6,12.6,2.6,0.1,15.4,19.8,0.8,0.8,1.6,0.105
Jessica Breland,ATL,33,33,23.2,3.2,8.3,0.378,0.3,1.2,0.237,2.9,7.2,0.401,0.395,0.9,1,0.879,1.3,7.3,1.7,1.3,1.1,1.2,2,7.5,11.9,0.495,0.342,0.376,5.1,6.1,8.5,2.2,1.9,13.3,16.8,0.3,0.2,0.6,0.053
Kalani Brown,LAS,28,0,13.5,1.9,4,0.478,0,0,0,1.9,4,0.482,0.478,1.3,1.6,0.783,1.2,3.5,0.6,0.3,0.8,1,1.7,5.1,24.3,0.558,0.031,0.398,8.7,17.6,16.8,1.2,5.2,13.6,28.1,2.2,2,4.1,0.204
Lexie Brown,MIN,33,0,18.3,2.5,6.3,0.402,1.6,4.1,0.385,1,2.2,0.432,0.526,0.9,1.2,0.789,0.2,1.4,1.4,0.9,0,1.2,1.3,7.6,14.7,0.454,0.149,0.284,1.8,5,31.7,4.1,0.7,19.6,21.3,-0.1,1.4,1.3,0.061
Kennedy Burke,IND,31,7,13.6,1.5,3.8,0.385,0.5,1.3,0.35,1,2.5,0.403,0.444,1,1.4,0.705,0.6,1.5,0.7,0.6,0.3,0.7,1,4.4,11.5,0.461,0.32,0.289,3.1,6.9,14.4,1.5,1.5,10.5,18,0.1,0.3,0.4,0.042
Liz Cambage,LVA,32,30,25.2,6.1,12.2,0.504,0.1,0.4,0.167,6.1,11.8,0.515,0.506,3.6,4.8,0.748,2,8.2,2.1,0.6,1.6,2.3,2.8,15.9,-8.3,0.2,0.8,0,0,0,6.6,2.2,0,28.6,13.8,-0.1,0,-0.1,-0.229
Jordin Canada,SEA,30,29,28.8,3.7,9.6,0.388,0.3,1.4,0.186,3.5,8.2,0.423,0.401,2.1,2.7,0.768,0.4,2.4,5.2,2.3,0.2,2.6,1.6,9.8,6.4,0.444,0.591,0.258,0.4,2.3,17.8,1.9,0.2,21.9,12.3,-0.4,0.2,-0.2,-0.014
Bridget Carleton,CON,4,0,7.3,0,1.5,0,0,0.5,0,0,1,0,0,0,0,,0.3,0.8,0.3,0,0,0.3,0.5,0,14.8,0.448,0.104,0.235,7.1,13.8,15,1.1,2.3,12,30.2,-0.6,0.5,-0.1,-0.005
Bridget Carleton,MIN,4,0,2.8,0.3,0.5,0.5,0.3,0.5,0.5,0,0,,0.75,0,0,,0,0.3,0,0,0,0,0,0.8,6.4,0.396,0.611,0.278,1.7,4.3,12.1,3.6,1.2,16.5,15.1,-0.1,0.1,0,0.024
Bridget Carleton,TOT,8,0,5,0.1,1,0.125,0.1,0.5,0.25,0,0.5,0,0.188,0,0,,0.1,0.5,0.1,0,0,0.1,0.3,0.4,17.3,0.536,0.047,0.488,5.5,9.1,22.2,1.1,0,13.3,18.9,0.4,0.1,0.6,0.16
Essence Carson,PHO,23,13,18.5,2,5.6,0.352,0.6,1.8,0.341,1.3,3.8,0.356,0.406,1.3,1.6,0.784,0.5,2.2,1.5,0.5,0.3,0.7,1,5.8,16.3,0.602,0.447,0.093,4.9,10.1,15.8,2,1.7,16.3,15.3,2,1.1,3.1,0.141
Arica Carter,PHO,6,0,4,0.2,0.8,0.2,0,0.7,0,0.2,0.2,1,0.2,0,0,,0,0,0.2,0.2,0,0.3,0.8,0.3,12.2,0.501,0.495,0.215,0.7,4.7,24.1,1.7,0.5,17.5,15.5,1.7,0.8,2.5,0.09
Maite Cazorla,ATL,31,1,15.4,0.9,3,0.312,0.4,1.8,0.236,0.5,1.2,0.421,0.382,0.7,0.8,0.875,0.1,0.7,1.6,0.6,0,0.9,0.7,3,10.1,0.441,0.417,0.302,6.2,10.6,6,1.9,2.7,11.8,20.3,-0.3,0.5,0.2,0.02
Tina Charles,NYL,33,33,31.2,6.7,17.2,0.389,0.3,1.8,0.186,6.3,15.4,0.412,0.398,3.3,4,0.812,2,7.5,2.4,0.7,0.9,2.6,2.8,16.9,18.5,0.576,0.243,0.296,6.6,12.1,12.6,3,2.5,14.4,17.9,2.8,2.4,5.2,0.185
Karima Christmas-Kelly,MIN,6,0,12,0.8,3,0.278,0.5,1.8,0.273,0.3,1.2,0.286,0.361,0.5,0.8,0.6,0.2,0.8,1,0.8,0.2,0.7,1.3,2.7,13.5,0.558,0.238,0.393,0.6,3.3,24.1,4,0.9,22.1,14.3,0.4,0.8,1.2,0.126
Layshia Clarendon,CON,9,0,15.3,2,4.8,0.419,0.2,0.2,1,1.8,4.6,0.39,0.442,2,2.3,0.857,0.8,2.4,2.1,0.3,0,0.9,0.8,6.2,9.7,0.483,0.24,0.343,2.8,7.1,9.6,1.4,0.4,15.5,24.1,-0.3,0.3,0,0.003
Alysha Clark,SEA,31,30,28.4,3.7,7.6,0.481,1.6,3.4,0.481,2,4.2,0.481,0.589,0.6,0.7,0.818,1.2,4.7,2.5,1.1,0.5,1.5,1.9,9.6,8.1,0.532,0.582,0.43,1.8,6.7,10.6,1.5,0.8,17.6,13.9,0.2,0.3,0.5,0.053
Natasha Cloud,WAS,34,34,32.1,3.2,8.2,0.394,1.3,4.1,0.326,1.9,4.1,0.461,0.475,1.2,1.8,0.683,0.2,2.5,5.6,1,0.2,1.9,2,9,14.8,0.55,0.519,0.126,5.2,10.7,20.2,1.5,2,17.1,17.7,1.2,1,2.2,0.133
Alaina Coates,ATL,9,0,8.3,1,1.6,0.643,0,0,,1,1.6,0.643,0.643,0.8,1.4,0.538,0.9,3,0.1,0.2,0.7,0.4,2.2,2.8,4.6,0.401,0.221,0.143,2.8,6.8,20.6,1.5,0.8,22.9,23.2,-1.9,0.2,-1.8,-0.111
Alaina Coates,MIN,14,0,6.6,1.1,2.2,0.484,0,0,,1.1,2.2,0.484,0.484,0.4,0.6,0.625,0.9,2.4,0.1,0.2,0.4,0.4,1.2,2.5,31.8,0.633,0.283,0.274,6.6,17.2,13.2,1.1,3.6,5.9,25.7,6.2,1.5,7.7,0.343
Alaina Coates,TOT,23,0,7.3,1,2,0.533,0,0,,1,2,0.533,0.533,0.5,0.9,0.571,0.9,2.6,0.1,0.2,0.5,0.4,1.6,2.6,16.2,0.508,0.328,0.291,3.4,10.2,13.4,2.1,1,12,26.1,1.2,1.2,2.4,0.094
Nia Coffey,ATL,28,6,13.9,1.7,5,0.338,0.8,2.1,0.379,0.9,2.9,0.309,0.417,0.8,1.5,0.548,0.8,2.8,0.4,0.5,0.5,0.8,1.9,5,0.7,0.237,0.6,0.6,1.1,5.8,22,1.5,1.6,44.2,9.8,-0.3,0.1,-0.2,-0.081
Napheesa Collier,MIN,34,34,33.3,4.9,10,0.49,0.9,2.4,0.361,4,7.6,0.531,0.534,2.4,3,0.792,1.8,6.6,2.6,1.9,0.9,1.9,2.9,13.1,14.8,0.621,0.356,0.21,5.7,12.4,13.8,1.2,2.9,20.6,16.4,1.6,1.1,2.7,0.126
Sydney Colson,LVA,33,0,11.5,1.1,2.5,0.44,0.3,0.6,0.45,0.8,1.9,0.438,0.494,0.8,1,0.818,0.1,0.7,1.8,0.9,0.1,0.8,1.2,3.3,14.5,0.502,0.008,0.152,2.7,9.4,14.9,0.8,1.5,11.7,19.3,1.2,0.5,1.6,0.062
Kahleah Copper,CHI,34,0,14.8,2.3,6,0.387,0.4,1.4,0.306,1.9,4.6,0.413,0.424,1.6,2.1,0.771,0.4,1.9,0.9,0.4,0.1,1.3,1.5,6.7,11.3,0.541,0.336,0.145,1.2,3.4,11.3,1,1.2,11.5,16.6,0.5,-0.2,0.4,0.03
Sophie Cunningham,PHO,32,5,12.2,0.9,2.5,0.354,0.4,1.4,0.304,0.4,1,0.424,0.443,0.9,1.1,0.882,0.2,1.4,0.8,0.3,0.1,0.6,1.7,3.1,10,0.551,0.074,0.222,10.1,11.8,9.2,1.1,1.9,26.5,20,-0.1,0.4,0.2,0.034
Damiris Dantas,MIN,26,26,25.7,3.4,7.9,0.432,1.6,4.1,0.393,1.8,3.8,0.475,0.534,0.7,1,0.731,1.1,4.5,3.2,0.7,0.6,1.7,2.8,9.2,5.6,0.395,0.5,0.444,3.3,3.1,21.9,1.4,0,18.9,16,-0.1,0,0,-0.026
Kaela Davis,DAL,33,16,19.2,2.3,7,0.329,0.5,1.5,0.314,1.8,5.5,0.333,0.364,0.9,1,0.879,0.5,2.2,2.1,0.5,0.2,2.2,2.4,6,22.2,0.613,0,0.296,11.4,18.5,9.1,1.6,4.1,15.2,20,3.1,2.2,5.3,0.211
Elena Delle Donne,WAS,31,31,29.1,7.1,13.8,0.515,1.7,3.9,0.43,5.4,9.9,0.549,0.576,3.7,3.8,0.974,1.5,8.2,2.2,0.6,1.3,1,1,19.5,16.5,0.593,0.336,0.438,4.9,8.1,14.1,2.2,1.2,13.8,15.8,3.1,0.5,3.6,0.14
Diamond DeShields,CHI,34,34,30.2,5.6,14.1,0.399,1.5,4.6,0.316,4.2,9.5,0.44,0.451,3.4,4.1,0.836,0.9,5.5,2.4,1.3,0.4,2.2,2.7,16.2,15.8,0.509,0.29,0.159,1.4,6.6,31.1,1.5,0.2,18.3,23.8,1.1,1.2,2.4,0.085
Blake Dietrick,SEA,17,1,6.2,0.1,0.6,0.1,0,0.4,0,0.1,0.2,0.25,0.1,0.2,0.4,0.667,0.1,0.6,0.9,0.2,0.1,0.6,0.8,0.4,11.1,0.502,0.013,0.413,13.5,19.3,6,1.6,1.1,19.2,18.5,0.1,0.4,0.5,0.037
Stefanie Dolson,CHI,34,34,25,3.6,6.9,0.519,0.9,2.4,0.361,2.7,4.4,0.607,0.584,1.3,1.4,0.898,1.2,5.6,2.2,0.6,1,1.9,3.7,9.3,26.4,0.601,0.006,0.261,6,12.6,17.9,1.1,4.8,12.5,28.4,3.6,1.5,5,0.198
Candice Dupree,IND,34,34,30.7,5.1,10.9,0.472,0,0.1,0,5.1,10.8,0.475,0.472,1.4,1.6,0.839,0.7,5,2.5,0.4,0.6,1.5,1,11.6,8.8,0.433,0.231,0.204,10.5,12.9,10.3,0.7,5.5,21.4,19,-0.5,0.4,-0.1,-0.015
Asia Durr,NYL,18,15,26.7,3.9,8.4,0.467,0.8,2.8,0.294,3.1,5.6,0.554,0.516,1,1.2,0.818,0.3,1.6,1.7,0.6,0.4,1.2,1.9,9.7,15.1,0.572,0.164,0.364,9.4,15.7,5.5,0.9,2.2,13.6,14.3,0.6,0.2,0.7,0.124
Temi Fagbenle,MIN,18,0,15.1,2.3,4.5,0.519,0.1,0.3,0.167,2.3,4.2,0.547,0.525,0.7,1,0.722,1.2,2.9,0.8,0.3,0.3,1.8,2.3,5.4,18.9,0.558,0.183,0.356,10.1,16.6,13.4,1.9,1.2,15.4,20.2,1.8,1.8,3.6,0.169
Jamierra Faulkner,CHI,13,0,5.5,0.5,1.4,0.333,0.1,0.7,0.111,0.4,0.7,0.556,0.361,0.3,0.6,0.5,0.2,0.3,0.8,0.2,0,0.4,0.6,1.3,15.6,0.495,0.025,0.278,10.2,13.5,10.4,2.4,2.8,15.1,18.5,0.8,0.8,1.6,0.081
Sylvia Fowles,MIN,34,34,29.5,5.8,9.9,0.588,0,0,,5.8,9.9,0.588,0.588,2.1,2.9,0.707,2.7,8.9,1.5,0.9,1.4,2,2.6,13.6,12.9,0.492,0.348,0.314,3.7,8,24.3,1.7,0.2,17.3,23.2,0.2,0,0.3,0.019
Allisha Gray,DAL,34,29,30.4,3.4,7.5,0.457,1,2.5,0.384,2.5,5,0.494,0.521,2.8,3.3,0.848,1.3,4.1,2.3,1.2,0.4,1.4,2.6,10.6,23.5,0.623,0.414,0.182,12.2,16.5,8.3,1.5,0.7,12.8,26.1,2.1,0.6,2.7,0.229
Chelsea Gray,LAS,34,34,32.6,5.5,13.3,0.416,1.5,3.9,0.382,4.1,9.4,0.43,0.471,1.9,2.1,0.917,0.4,3.8,5.9,1,0.1,3.2,1.4,14.5,15.1,0.497,0.313,0.34,2.7,5.7,21.9,1.8,0.8,14,27.1,0.5,0.6,1,0.05
Reshanda Gray,NYL,34,10,15.3,2.1,4.4,0.473,0,0.1,0.5,2.1,4.4,0.473,0.477,1,1.8,0.565,1.8,5.2,0.5,0.5,0.2,1.2,3.3,5.2,15.9,0.532,0.483,0.414,3.7,8.4,29.2,2,0.9,15.9,17.2,0.5,0.3,0.8,0.153
Brittney Griner,PHO,31,31,32.8,8.7,15.5,0.564,0,0.1,0.333,8.7,15.4,0.565,0.565,3.3,4,0.808,1.6,7.2,2.4,0.7,2,2.5,2.7,20.7,9.9,0.428,0.462,0.385,4.6,6.1,10.8,1.1,0,0,14.3,0.1,0,0.1,0.064
Marie Gulich,ATL,31,1,11.3,1.3,3.5,0.361,0.3,0.8,0.32,1,2.7,0.373,0.398,0.5,0.7,0.727,1.1,2.7,0.6,0.2,0.8,1,2,3.3,12.6,0.424,0.232,0.174,14.7,16.7,16.3,2.2,4.3,22,20.6,-0.1,0.4,0.3,0.062
Megan Gustafson,DAL,25,0,9.5,1.1,2.2,0.491,0,0.4,0.111,1,1.8,0.565,0.5,0.7,0.8,0.9,0.8,2.5,0.3,0.2,0.2,0.4,1,2.9,11.3,0.487,0.326,0.301,2.1,5.3,9.7,1.5,1.2,12.1,20.4,0.3,0.5,0.8,0.059
Dearica Hamby,LVA,34,9,24.8,4.1,8.5,0.488,0.5,1.6,0.321,3.6,6.9,0.525,0.517,2.2,3,0.718,2.2,7.6,1.9,1,0.4,1.8,2.1,11,4,0.5,0.4,0,11.7,9.2,0,2.6,0,28.6,16,0,0,0,-0.028
Isabelle Harrison,DAL,31,29,25.6,3.5,7.8,0.456,0,0.2,0,3.5,7.6,0.468,0.456,1.5,2.2,0.716,2.3,5.8,1.4,1.1,0.8,1.5,2.6,8.6,24.2,0.523,0.201,0.306,10.1,16.1,14,3.7,4.8,14.4,29.4,2,2.6,4.6,0.173
Bria Hartley,NYL,24,18,22.7,3.3,8.8,0.376,1,3,0.329,2.3,5.7,0.401,0.433,2.2,2.8,0.803,0.8,3.2,3.2,0.8,0,2.1,2.3,9.8,2.4,0.215,0,0.667,11.1,10.5,17.4,7.7,0,34,24,-0.3,0.1,-0.2,-0.245
Tianna Hawkins,WAS,31,1,15.4,3.6,7.1,0.514,1.1,2.9,0.363,2.6,4.2,0.62,0.589,1.2,1.3,0.925,1.5,4.2,0.7,0.5,0.1,1.1,2.5,9.5,8.8,0.52,0.451,0.236,0.8,2.8,20.3,1.6,0.3,21.2,14.2,0.3,0.3,0.5,0.025
Tiffany Hayes,ATL,29,29,28.2,5.1,12.9,0.393,1.2,4,0.308,3.8,8.9,0.432,0.441,3.3,4.4,0.764,0.7,3,2.8,1,0.3,2.4,2.4,14.7,14.6,0.575,0.6,0.173,2.9,5.6,23,1.2,0.7,15.7,17.8,0.8,-0.1,0.7,0.077
Natisha Hiedeman,CON,20,0,10.3,1.2,2.9,0.414,0.7,1.4,0.464,0.6,1.5,0.367,0.526,0.6,1.2,0.5,0.4,1.5,1.9,0.4,0.1,0.7,1.3,3.7,13.9,0.456,0.481,0.112,4.5,12.6,10.9,3.1,2.3,11.1,17.3,0.2,1,1.2,0.069
Tayler Hill,DAL,4,2,12.3,1,3.3,0.308,0.3,1.5,0.167,0.8,1.8,0.429,0.346,1,1.3,0.8,0.5,1.3,0.8,0.3,0,0,1,3.3,12.8,0.428,0.367,0.178,6,9.2,14.1,2.9,0.7,11,22.5,0,0.2,0.2,0.031
Myisha Hines-Allen,WAS,27,0,7.8,0.9,2.6,0.362,0.2,0.6,0.375,0.7,2,0.358,0.406,0.3,0.4,0.583,0.9,2.1,0.9,0.3,0.4,0.8,1.2,2.3,9,0.516,0.471,0.214,0.9,5.2,23.1,1.3,1.4,26.1,19,-0.1,0.2,0.1,0.021
Bria Holmes,CON,34,0,15.6,2.3,5.7,0.399,0.6,1.9,0.317,1.7,3.8,0.438,0.451,1.1,1.7,0.672,0.3,1.4,0.9,0.5,0.2,0.9,1.1,6.3,16.4,0.517,0.013,0.48,17.7,14.9,6.6,2,2.7,17.3,21,0.4,0.3,0.7,0.124
Anriel Howard,SEA,3,0,6.7,0.7,1.7,0.4,0.3,0.7,0.5,0.3,1,0.333,0.5,0,0,,0.7,1,0,0.3,0,0.7,1.3,1.7,24.3,0.56,0.36,0.342,12.5,19.3,9.2,2.2,6.1,12.9,22.6,3.3,2.4,5.6,0.23
Natasha Howard,SEA,34,34,31.4,6.7,15.2,0.439,0.9,3.1,0.308,5.7,12.1,0.472,0.47,3.8,4.6,0.81,2.7,8.2,2.1,2.2,1.7,2.9,2.9,18.1,10.2,0.504,0.333,0.148,2,4.8,18.7,0.9,2.7,23.8,28.4,-0.1,0,-0.1,-0.082
Chloe Jackson,CHI,8,0,4,0.3,1.1,0.222,0,0,,0.3,1.1,0.222,0.222,0.1,0.8,0.167,0.4,0.8,0.5,0.6,0,0.8,0.1,0.6,8.7,0.424,0.31,0.146,4.3,9.4,10.7,2.9,0.4,17.8,14.2,-0.8,0.9,0.1,0.004
Briann January,PHO,32,26,26.6,2.2,5.7,0.39,1,2.6,0.378,1.3,3.1,0.4,0.475,1.1,1.3,0.837,0.2,1.3,3.2,0.8,0.1,1.7,2.1,6.5,10.9,0.502,0.333,0.257,5.5,11.3,10,0.9,1.3,18.4,18.5,0,0.6,0.6,0.039
Marine Johannes,NYL,19,0,18.2,2.5,5.8,0.436,1.3,3.5,0.379,1.2,2.3,0.523,0.55,0.8,1,0.789,0.5,1.8,2.4,0.4,0.2,1.2,1.6,7.2,14.1,0.527,0.129,0.1,8.8,14.3,6.8,0.6,1.5,12.7,17.7,0.8,0.6,1.3,0.085
Glory Johnson,DAL,28,19,24.1,2.8,7.6,0.364,1.3,3.7,0.34,1.5,4,0.387,0.446,0.5,0.9,0.583,1,5.1,1.4,1.4,0.6,1,1.6,7.3,9.6,0.53,0.228,0.337,5.3,9.4,9.3,1.4,1.5,19.1,14.6,0.2,0.4,0.6,0.054
Shenise Johnson,IND,17,0,12.9,1.8,5.3,0.333,0.5,1.9,0.242,1.3,3.4,0.386,0.378,0.9,0.9,0.938,0.6,2.1,1.1,0.7,0.1,0.7,1,4.9,15.6,0.504,0.338,0.231,1.9,6.6,15,2.7,0.4,13.6,25.4,0.5,0.8,1.3,0.078
Alexis Jones,LAS,20,1,12.2,1.4,3.5,0.4,0.6,1.7,0.333,0.9,1.9,0.459,0.479,0.6,0.8,0.8,0.1,1.1,1.8,0.3,0.2,1.4,1.5,4,9.3,0.443,0.065,0.129,6.7,13.4,4.2,2.5,1.6,15.5,14.7,-0.2,0.4,0.2,0.03
Brionna Jones,CON,27,0,8.4,1.3,2.8,0.467,0,0,0,1.3,2.7,0.473,0.467,0.9,1.3,0.667,1.4,2.2,0.3,0.3,0.3,0.7,1.3,3.5,10.9,0.453,0.588,0.122,1.9,6.1,13.4,2.7,1.7,14.8,20.3,-0.3,0.6,0.3,0.035
Jonquel Jones,CON,34,34,28.8,5.1,11.4,0.448,1.3,4.1,0.309,3.8,7.3,0.526,0.504,3.2,3.9,0.818,3.3,9.7,1.5,1.3,2,1.9,2.8,14.6,14.5,0.51,0,0.4,5.4,10.2,0,4.5,3.3,0,11.6,0,0,0.1,0.169
Paris Kea,IND,11,0,5.5,1,2.5,0.407,0.5,0.8,0.556,0.5,1.6,0.333,0.5,0.2,0.4,0.5,0.1,0.5,0.5,0.1,0.2,0.8,0.4,2.6,12.9,0.551,0.021,0.362,12.3,15.8,3.3,1.5,2.8,15.5,14.3,0.3,0.2,0.6,0.111
Betnijah Laney,IND,34,27,25.8,2.3,6.3,0.362,0.6,1.9,0.303,1.7,4.3,0.388,0.408,0.5,0.9,0.581,0.9,4.2,1.7,1.4,0.1,1.4,1.6,5.6,16.7,0.566,0.405,0.268,2.5,7.8,15,2,0.2,12.8,19.9,2.2,1.5,3.7,0.149
