Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
69,Moses Brown,C,20,POR,6,0,3.5,0.7,1.5,0.444,0,0,,0.7,1.5,0.444,0.444,0.3,0.7,0.5,0.3,1.3,1.7,0,0.2,0,0.3,0.7,1.7,21,11.2,0.465,0,0.444,9.9,38.5,24.4,0,2.3,0,15.7,25.7,0,0,0,-0.016,-11.6,-7.3,-18.9,-0.1
70,Sterling Brown,SF,24,MIL,27,0,15.8,1.8,4.7,0.383,0.8,2.5,0.328,1,2.3,0.443,0.469,0.7,1,0.741,0.6,3.1,3.7,1,0.6,0.1,1,1.1,5.2,427,9.4,0.5,0.523,0.211,3.7,18.7,11.6,8,1.8,0.6,15.7,16.1,-0.2,0.8,0.6,0.07,-3.2,0.7,-2.5,-0.1
71,Troy Brown,SG,20,WAS,33,14,25.4,3.9,8.6,0.454,0.7,2.3,0.307,3.2,6.3,0.507,0.495,1.5,1.9,0.781,1.2,4.6,5.8,2.1,1.3,0.1,1.2,1.9,10,837,14,0.53,0.264,0.225,5.1,20.4,12.4,11.5,2.5,0.4,11.1,17.4,0.6,0.4,1.1,0.061,-0.8,-0.2,-1.1,0.2
72,Jalen Brunson,PG,23,DAL,36,8,17.4,3.1,6.5,0.468,0.8,2.3,0.333,2.3,4.3,0.539,0.526,0.9,1.1,0.756,0.5,2,2.5,3.4,0.4,0.1,1.1,1.3,7.7,626,15.6,0.549,0.345,0.174,3.1,11.7,7.5,28.4,1.2,0.3,13.9,20,1.1,0.4,1.6,0.12,0.5,-1.8,-1.3,0.1
73,Thomas Bryant,C,22,WAS,18,18,28.4,5.6,10.2,0.549,0.6,1.9,0.286,5.1,8.3,0.611,0.576,2.2,2.9,0.736,2.3,6.2,8.5,2.7,0.4,1,1.3,2.4,13.9,511,19.5,0.605,0.19,0.288,8.5,24.6,16.2,13.7,0.7,3,10.4,18.7,1.2,0.2,1.4,0.135,1.4,0,1.4,0.4
74,Reggie Bullock,G-F,28,NYK,4,1,21.5,3.8,8.5,0.441,1.5,4,0.375,2.3,4.5,0.5,0.529,0,0,,0.5,0.8,1.3,1,1.8,0,0,2.3,9,86,14.1,0.529,0.471,0,2.3,3.8,3,7.4,3.9,0,0,16.7,0.1,0.1,0.2,0.102,1,-1.5,-0.5,0
75,Trey Burke,PG,27,PHI,19,0,14.9,2.9,5.8,0.495,0.8,1.7,0.469,2.1,4.2,0.506,0.563,0.7,0.9,0.765,0.7,0.9,1.6,2.5,0.4,0.1,0.6,0.9,7.3,284,17.9,0.582,0.288,0.153,5.2,6.9,6.1,25,1.2,0.3,8.5,19.6,0.8,0.3,1,0.171,2.1,-2.4,-0.3,0.1
76,Alec Burks,SG,28,GSW,35,14,29.1,5.2,12.2,0.423,1.6,4.3,0.364,3.6,7.9,0.455,0.487,3.9,4.4,0.889,0.7,3.8,4.5,3,1.2,0.3,1.5,2.2,15.8,1019,16.8,0.558,0.353,0.357,2.6,14.3,8.3,17.1,2,1,9.8,23,1.5,0.7,2.2,0.102,0.8,-1.2,-0.4,0.4
77,Deonte Burton,SG,26,OKC,20,0,8.6,0.9,2.9,0.316,0.3,1.4,0.179,0.7,1.5,0.448,0.36,0.2,0.4,0.571,0.3,1.2,1.4,0.5,0.1,0.2,0.3,0.9,2.3,172,4.1,0.375,0.491,0.123,3.3,14.3,8.9,7.4,0.6,1.9,9.1,16.9,-0.3,0.2,-0.2,-0.049,-6,-1.2,-7.2,-0.2
78,Jimmy Butler,SF,30,MIA,31,31,35.4,5.8,13.6,0.429,0.8,2.9,0.27,5.1,10.7,0.471,0.457,8,9.7,0.821,2.1,4.8,6.9,6.6,2,0.5,2.6,1.3,20.4,1096,23.4,0.571,0.211,0.713,7,14.4,10.9,29.2,2.8,1.5,12.7,25.3,3.4,1.7,5.1,0.224,3.4,2.1,5.4,2
79,Bruno Caboclo,SF,24,MEM,21,0,9,1.3,3.2,0.412,0.2,1.2,0.16,1.1,2,0.558,0.441,0.1,0.1,0.667,0.8,1.3,2.1,0.5,0.5,0.6,0.3,1.1,3,190,12.4,0.447,0.368,0.044,9.6,15.1,12.4,7.1,2.4,5.4,9.2,16.8,-0.1,0.2,0.2,0.044,-2.8,1.8,-1,0
80,Kentavious Caldwell-Pope,SG,26,LAL,37,19,25.2,3.4,7.2,0.466,1.4,3.2,0.433,2,4,0.493,0.563,1.1,1.4,0.792,0.6,1.5,2.1,1.7,0.8,0.2,0.9,1.8,9.3,934,11.5,0.59,0.448,0.198,2.7,6.4,4.6,9.2,1.5,0.7,10.5,14.8,1.2,1,2.2,0.113,0.2,-0.5,-0.3,0.4
81,Vlatko Čančar,SF,22,DEN,5,0,1.8,0,0.2,0,0,0,,0,0.2,0,0,0.4,0.4,1,0.2,0,0.2,0.4,0,0,0,0,0.4,9,17.2,0.532,0,2,12.1,0,6.1,26,0,0,0,9,0,0,0,0.219,1,-3.6,-2.6,0
82,Clint Capela,C,25,HOU,29,29,33.6,6.5,10.1,0.645,0,0,,6.5,10.1,0.645,0.645,1.4,2.8,0.512,3.9,10.3,14.2,1.2,1,1.8,1.6,2.7,14.5,973,21.3,0.638,0,0.28,12.2,31.6,22,5.4,1.4,4.6,12.3,15.8,2.4,1.6,4,0.197,-0.7,2.4,1.7,0.9
83,DeMarre Carroll,SF,33,SAS,14,0,9.5,0.6,2.1,0.31,0.2,0.9,0.231,0.4,1.1,0.375,0.362,0.8,1.3,0.611,0.5,1.6,2.1,0.8,0.1,0.1,0.7,1.4,2.3,133,5.1,0.433,0.448,0.621,5.6,18.1,11.9,10.2,0.7,1.3,21.3,15.1,-0.2,0.1,-0.1,-0.033,-4.9,-0.9,-5.8,-0.1
84,Jevon Carter,PG,24,PHO,24,2,13.6,1.3,3.4,0.366,0.7,1.9,0.348,0.6,1.5,0.389,0.463,0.3,0.3,0.75,0.5,1.5,1.9,1.5,0.8,0.3,0.8,1.5,3.4,327,9.1,0.479,0.561,0.098,3.6,12.1,7.7,14.8,2.9,1.9,18.2,13.5,-0.1,0.4,0.2,0.035,-2.7,1.5,-1.3,0.1
85,Vince Carter,SF,43,ATL,30,0,15.9,1.8,5.5,0.329,1,3.6,0.275,0.8,1.8,0.436,0.421,0.4,0.6,0.706,0.2,1.8,2,1.1,0.3,0.4,0.6,1.7,5,476,5.8,0.437,0.665,0.104,1.4,12.5,6.9,9.5,0.8,2.1,9.5,16.6,-0.5,0.1,-0.4,-0.038,-4,-2.1,-6.1,-0.5
86,Wendell Carter,C,20,CHI,37,37,30,4.5,8.4,0.537,0.2,0.8,0.214,4.3,7.6,0.569,0.547,2.6,3.5,0.736,3.5,6.4,9.9,1.2,0.8,0.9,1.7,3.8,11.7,1109,16.1,0.592,0.091,0.417,11.9,23.6,17.5,6.1,1.3,2.8,14.5,16.3,1.7,1.7,3.4,0.148,-1.5,1.8,0.4,0.7
87,Michael Carter-Williams,SG,28,ORL,19,0,16.3,1.8,4.9,0.376,0.4,1.6,0.233,1.5,3.3,0.444,0.414,1.2,1.6,0.71,0.9,2.2,3.2,2,1.1,0.4,0.9,1.4,5.2,310,13.3,0.464,0.323,0.333,5.9,14.6,10.2,18.1,3.2,2.3,13.7,17.3,0,0.5,0.5,0.081,-2.3,2.7,0.4,0.2
88,Alex Caruso,PG,25,LAL,34,0,19.4,2,4.6,0.432,0.6,1.9,0.323,1.4,2.6,0.511,0.5,0.9,1.3,0.744,0.3,1.7,2,1.7,1.1,0.2,0.9,1.6,5.5,661,10.1,0.538,0.419,0.277,1.7,9.6,5.7,11.3,2.6,1.1,14.7,13.1,0.3,1,1.3,0.092,-1.8,1.3,-0.5,0.2
89,Willie Cauley-Stein,C,26,GSW,33,32,23.2,3.6,6.5,0.563,0,0,,3.6,6.5,0.563,0.563,0.8,1.3,0.605,1.6,4.6,6.2,1.5,1.2,1.4,0.9,2.6,8.1,764,16.8,0.573,0,0.202,7.4,21.9,14.4,10.2,2.5,5.3,11.8,14.7,0.8,1.1,1.9,0.121,-2.2,3.6,1.5,0.7
90,Tyson Chandler,C,37,HOU,22,5,8.7,0.6,0.8,0.778,0,0,,0.6,0.8,0.778,0.778,0.3,0.6,0.462,1,1.8,2.8,0.3,0.3,0.4,0.3,1.2,1.5,192,12.5,0.717,0,0.722,12,21,16.5,4,1.5,3.6,22.8,6.6,0.3,0.2,0.6,0.145,-1.8,1.9,0.1,0.1
91,Wilson Chandler,SF,32,BRK,11,0,20.5,2.5,5.5,0.443,0.6,2.9,0.219,1.8,2.6,0.69,0.5,0.6,0.7,0.875,0.3,4.5,4.8,1.4,0.6,0.5,1.3,2.1,6.2,226,8.9,0.527,0.525,0.131,1.4,21.8,11.9,9.5,1.5,1.8,17.8,14.4,-0.1,0.3,0.2,0.048,-4.4,1.5,-2.9,-0.1
92,Zylan Cheatham,SF,24,NOP,2,0,10,0.5,2,0.25,0,0.5,0,0.5,1.5,0.333,0.25,0,0,,0,1.5,1.5,0.5,0,0,0.5,1.5,1,20,-3.5,0.25,0.25,0,0,16.3,7.9,6.2,0,0,20,10.3,-0.1,0,-0.1,-0.133,-10.1,-1.9,-11.9,-0.1
93,Chris Chiozza,PG,24,WAS,10,0,12.3,1,3.4,0.294,0.7,1.6,0.438,0.3,1.8,0.167,0.397,0,0,,0,1.5,1.5,2.8,1,0.2,0.9,1.2,2.7,123,9.4,0.397,0.471,0,0,13.8,6.6,28.4,3.8,1.4,20.9,14.5,-0.1,0.1,0,-0.007,-3.9,-0.2,-4.1,-0.1
94,Marquese Chriss,PF,22,GSW,37,3,17.7,2.6,5.4,0.485,0.1,0.6,0.227,2.5,4.8,0.517,0.498,2,2.6,0.76,1.9,3.6,5.4,1.9,0.6,0.9,1.4,1.9,7.4,655,17.7,0.561,0.11,0.48,11,22.3,16.5,16.7,1.6,4.5,17.7,19.1,0.7,0.7,1.5,0.109,-1.6,2.2,0.6,0.4
95,Gary Clark,PF,25,HOU,18,0,11.8,1.3,3.3,0.39,1,2.8,0.353,0.3,0.4,0.625,0.542,0.3,0.4,0.857,0.6,1.6,2.2,0.7,0.1,0.4,0.1,1.2,3.9,212,12.1,0.564,0.864,0.119,5.4,14.1,9.8,7.5,0.4,2.8,3.1,12.4,0.4,0.2,0.6,0.132,0.4,-1.1,-0.7,0.1
96,Brandon Clarke,PF,23,MEM,32,2,21.2,5.3,8.3,0.635,0.5,1.2,0.421,4.8,7.1,0.671,0.665,1.3,1.7,0.778,1.3,4.3,5.6,1.3,0.4,0.8,1,1.6,12.4,678,22.4,0.683,0.143,0.203,6.6,21.4,14,10,0.9,3.4,9.7,19.7,2,0.5,2.5,0.178,2.1,0,2.1,0.7
97,Jordan Clarkson,SG,27,TOT,35,0,23.2,5,11.2,0.445,2.1,5.5,0.378,2.9,5.7,0.51,0.538,2.4,2.9,0.85,0.7,1.6,2.3,2.2,0.5,0.3,1.3,1.3,14.5,812,18.4,0.582,0.494,0.256,3.1,7.5,5.3,15.7,1.1,1.2,9.2,25.3,1.7,0.2,1.9,0.111,3,-3.3,-0.3,0.4
97,Jordan Clarkson,SG,27,CLE,29,0,23,5,11.2,0.442,2,5.5,0.371,2.9,5.8,0.509,0.532,2.6,3,0.884,0.7,1.7,2.4,2.4,0.6,0.3,1.3,1.1,14.6,666,19.3,0.581,0.488,0.264,3.5,7.9,5.7,17.6,1.2,1,9.7,25.9,1.5,0.1,1.6,0.112,3.5,-3.5,0,0.3
97,Jordan Clarkson,G,27,UTA,6,0,24.3,5,10.8,0.462,2.3,5.7,0.412,2.7,5.2,0.516,0.569,1.5,2.3,0.643,0.3,1.3,1.7,1,0.3,0.5,0.8,2,13.8,146,14.7,0.583,0.523,0.215,1.5,5.6,3.7,6.8,0.7,1.7,6.6,22.8,0.2,0.1,0.3,0.105,0.9,-2.6,-1.7,0
98,Nicolas Claxton,PF,20,BRK,10,0,12,1.1,2.2,0.5,0,0.5,0,1.1,1.7,0.647,0.5,0.5,1.2,0.417,0.8,1.4,2.2,1.1,0.1,0.5,0.6,1,2.7,120,9.2,0.495,0.227,0.545,7,11.5,9.3,12.7,0.4,3.4,18,11.5,0,0.1,0.1,0.055,-4.2,1.3,-3,0
99,Chris Clemons,SG,22,HOU,22,0,9.1,1.9,4.4,0.427,1.4,3.5,0.39,0.5,0.9,0.579,0.583,0.1,0.2,0.75,0.1,0.6,0.7,0.7,0.3,0.2,0.5,0.8,5.2,201,14.6,0.588,0.802,0.042,1,7.2,4.1,12.1,1.4,1.7,10.9,22.4,0.3,0.1,0.4,0.096,1.1,-3.6,-2.5,0
100,Amir Coffey,G,22,LAC,2,0,2.5,1,1.5,0.667,0.5,1,0.5,0.5,0.5,1,0.833,0,0,,0,0,0,0.5,0,0,0,0.5,2.5,5,36,0.833,0.667,0,0,0,0,43,0,0,0,24.6,0,0,0,0.452,14.8,-12.4,2.4,0
101,John Collins,PF,22,ATL,11,11,30.7,7.2,14,0.513,1.5,4.3,0.362,5.6,9.7,0.579,0.568,2.1,2.6,0.793,1.9,7.4,9.3,1.7,0.9,1.8,1.7,3.2,18,338,20.6,0.594,0.305,0.188,6.7,26.4,16.5,9.6,1.4,5,10.2,23,0.5,0.4,0.9,0.124,0.1,0.7,0.8,0.2
102,Zach Collins,PF,22,POR,3,3,28.7,3,6.3,0.474,1,2.3,0.429,2,4,0.5,0.553,2,2,1,1.3,2.7,4,2,0,0.7,2,3.7,9,86,9.2,0.624,0.368,0.316,4.8,9.4,7.2,9.3,0,1.9,21.7,13.6,0.1,0,0.1,0.052,-1.6,-1.5,-3.2,0
103,Mike Conley,PG,32,UTA,22,22,29.4,4.5,12.3,0.365,1.8,5,0.36,2.7,7.3,0.369,0.439,2.8,3.5,0.803,0.7,2.6,3.3,4.6,0.7,0.2,2,2.2,13.6,647,12.3,0.491,0.41,0.28,2.8,9,6,23.9,1.2,0.5,12.9,23.6,0.1,0.7,0.8,0.06,-0.6,-1,-1.6,0.1
104,Pat Connaughton,SG,27,MIL,35,0,18,1.9,4.4,0.439,0.7,2.3,0.309,1.2,2.1,0.581,0.519,0.5,0.7,0.696,0.7,3.6,4.3,1.9,0.3,0.5,0.8,1.1,5.1,629,11.6,0.536,0.523,0.148,4,19,11.8,13.1,0.9,2.6,14.5,12.7,0.5,1.1,1.6,0.122,-1.7,2.1,0.4,0.4
105,Quinn Cook,PG,26,LAL,23,0,12.6,1.9,4.6,0.415,0.6,1.7,0.333,1.3,2.9,0.463,0.476,0.2,0.2,0.8,0.2,0.9,1.1,1.4,0.3,0,0.8,0.6,4.6,290,8.1,0.485,0.368,0.047,1.6,7.8,4.7,15.1,1,0.3,14.9,18.6,-0.2,0.3,0.1,0.016,-3.9,-2.2,-6.1,-0.3
106,Tyler Cook,PF,22,CLE,6,0,2.8,0.8,1,0.833,0,0,,0.8,1,0.833,0.833,0.3,0.3,1,0.5,0.3,0.8,0,0.2,0,0.2,0.2,2,17,34.5,0.872,0,0.333,19.3,12.9,16.1,0,2.9,0,12.7,19.8,0.1,0,0.1,0.307,5.5,-6.2,-0.7,0
107,Robert Covington,PF,29,MIN,35,34,28.8,4.3,9.8,0.44,2.1,6.1,0.349,2.2,3.7,0.594,0.55,1.7,2.1,0.833,0.7,5.1,5.8,1.2,1.6,0.9,1.5,3,12.5,1009,14,0.583,0.627,0.21,2.5,18.5,10.3,6.3,2.5,2.6,12.6,17.5,0.7,1.4,2.1,0.101,-0.5,1.4,0.9,0.7
108,Allen Crabbe,SG,27,ATL,24,1,18.7,2,5.3,0.375,1.1,3.5,0.321,0.9,1.8,0.477,0.48,0.4,0.5,0.75,0.3,2,2.3,1,0.5,0.1,0.5,1.3,5.5,449,7.9,0.495,0.656,0.094,1.9,11.5,6.7,7.5,1.4,0.6,7.6,13.4,0,0.1,0.1,0.015,-2.3,-1.9,-4.2,-0.2
109,Torrey Craig,SF,29,DEN,24,3,12.3,1.1,2.8,0.382,0.3,1.4,0.235,0.8,1.4,0.529,0.441,0.3,0.5,0.538,0.6,1.5,2,0.6,0.3,0.5,0.4,1.8,2.8,295,7.3,0.454,0.5,0.191,5.2,13.2,9.1,6.6,1.2,4,10.9,12.1,0,0.4,0.3,0.052,-3.4,1.5,-1.9,0
110,Jae Crowder,SF,29,MEM,36,36,30.7,3.6,9.4,0.381,1.9,6.3,0.308,1.6,3.1,0.527,0.484,1.6,2.1,0.773,0.9,5.3,6.2,3,1,0.4,1.3,2.1,10.7,1104,11.5,0.519,0.67,0.221,3.2,18.2,10.7,12.9,1.5,1.1,11,15.8,0.6,0.7,1.3,0.059,0,0.1,0.1,0.6
111,Jarrett Culver,SG,20,MIN,35,22,23.5,3.5,9.3,0.378,0.9,3.7,0.254,2.6,5.6,0.462,0.429,0.9,2.1,0.438,1.2,2.2,3.4,2,1.1,0.7,1.2,2.3,8.9,821,9.8,0.435,0.4,0.225,5.3,9.9,7.5,12.9,2.2,2.3,10.7,20.1,-0.8,0.8,0,0,-3.2,0.4,-2.8,-0.2
112,Seth Curry,SG,29,DAL,34,9,22.2,3.5,7.7,0.449,1.7,4.5,0.388,1.7,3.3,0.532,0.561,1.3,1.4,0.938,0.4,1.6,2,1.7,0.6,0.2,1.1,1.8,10,756,13.1,0.598,0.578,0.183,2.1,7.1,4.7,11.2,1.2,0.7,11.5,18.1,1.2,0.5,1.6,0.103,1.1,-2,-0.9,0.2
113,Stephen Curry,PG,31,GSW,4,4,28,6.8,16.5,0.409,2.3,9.3,0.243,4.5,7.3,0.621,0.477,4.5,4.5,1,1,4,5,6.5,1.3,0.5,3.8,2.5,20.3,112,21,0.548,0.561,0.273,3.7,15.8,9.6,42.5,2.1,1.6,16.9,33.8,0.1,0.1,0.2,0.083,4.7,-1.2,3.5,0.2
114,Troy Daniels,SG,28,LAL,27,0,12,1.5,3.9,0.385,1,2.8,0.347,0.5,1.1,0.483,0.51,0.1,0.3,0.571,0.1,0.9,1,0.3,0.3,0.1,0.3,0.7,4.1,323,7.7,0.514,0.721,0.067,1.4,8,4.8,3.7,1,0.5,6.1,15,0,0.3,0.4,0.054,-1.8,-2.2,-4.1,-0.2
115,Anthony Davis,PF,26,LAL,35,35,35.2,9.4,18.7,0.504,1.1,3.7,0.297,8.3,15.1,0.554,0.533,7.1,8.3,0.859,2.2,7.2,9.4,3.2,1.5,2.6,2.4,2.5,27.1,1231,28.4,0.605,0.195,0.444,7.2,21.8,14.7,15,2.1,6.5,9.7,29.9,4.2,2.7,6.9,0.268,3.3,3.8,7.1,2.8
116,Ed Davis,C,30,UTA,19,0,11.5,0.6,1.5,0.393,0,0,,0.6,1.5,0.393,0.393,0.2,0.5,0.444,1.1,3.2,4.3,0.4,0.5,0.4,0.6,2.4,1.4,219,7,0.407,0,0.321,10.8,28,19.8,4.8,2,3,27.3,8.8,-0.1,0.5,0.3,0.073,-5.3,4.2,-1.1,0
117,Terence Davis,SG,22,TOR,37,0,16.5,2.4,5.2,0.464,1.2,3,0.391,1.3,2.3,0.56,0.575,0.7,0.8,0.931,0.6,2.4,3,1.8,0.5,0.2,0.9,1.5,6.8,611,14.4,0.605,0.567,0.149,4.2,14.4,9.4,16.2,1.5,1.1,14.5,16.9,0.9,0.9,1.8,0.143,0.8,0.6,1.4,0.5
118,Dewayne Dedmon,C,30,SAC,24,4,14.3,2,4.7,0.42,0.5,2.2,0.231,1.5,2.5,0.583,0.473,0.7,0.8,0.842,1.2,2.9,4.1,0.4,0.4,0.5,1.5,2.5,5.1,344,8.4,0.507,0.464,0.17,9,23.7,16.2,3.9,1.3,3.3,22.5,19.7,-0.5,0.4,-0.1,-0.01,-5.5,-0.4,-5.9,-0.3
119,Matthew Dellavedova,PG,29,CLE,35,0,13.1,0.9,3,0.314,0.2,1.7,0.138,0.7,1.3,0.532,0.352,0.6,0.6,0.955,0.3,1,1.3,2.7,0.4,0,0.8,1.6,2.7,457,7.7,0.414,0.552,0.21,2.9,8.4,5.6,28.4,1.5,0.2,19.6,13.4,0,0.1,0,0.002,-2.9,-2.8,-5.7,-0.4
120,DeMar DeRozan,SF,30,SAS,35,35,33.9,8.5,16,0.53,0.2,0.7,0.304,8.3,15.3,0.539,0.536,4.6,5.7,0.813,0.6,4.6,5.1,4.9,0.9,0.3,2.5,2.8,21.7,1185,20.4,0.588,0.041,0.354,1.8,14.1,8,23.2,1.3,0.9,11.9,26.5,2.5,0.6,3.1,0.128,1.5,-1,0.4,0.7
121,Cheick Diallo,C,23,PHO,23,0,9.3,2,3,0.667,0,0,1,2,3,0.662,0.674,0.8,0.9,0.857,0.7,2,2.7,0.5,0.1,0.2,0.5,1,4.8,215,19.3,0.709,0.014,0.304,7.4,24.7,15.8,8.7,0.7,1.6,13.3,17.7,0.6,0.2,0.7,0.167,-0.6,-0.8,-1.4,0
122,Hamidou Diallo,SF,21,OKC,17,1,20.2,3.3,7.1,0.463,0.2,0.9,0.188,3.1,6.2,0.505,0.475,1.2,1.8,0.677,0.9,2.5,3.5,0.7,1.2,0.3,0.9,2.4,8,343,12.2,0.505,0.132,0.256,5.2,13.4,9.4,5.4,2.9,1.2,10.6,19.4,-0.1,0.5,0.4,0.06,-3.4,0.5,-2.9,-0.1
123,Gorgui Dieng,C,30,MIN,32,13,18,2.7,6.1,0.439,0.9,2.5,0.358,1.8,3.6,0.496,0.513,1.3,1.6,0.8,1.6,4.2,5.8,1.3,0.9,1,0.9,2,7.5,575,18.2,0.553,0.413,0.255,9.1,24.4,16.6,11,2.4,4.7,11.7,17.7,0.8,1,1.8,0.149,-0.5,3.1,2.6,0.7
124,Spencer Dinwiddie,SG,26,BRK,36,25,30.8,7.4,17.6,0.42,1.9,6.4,0.289,5.6,11.2,0.496,0.473,5.7,7.2,0.795,0.3,2.8,3.1,6.2,0.8,0.4,2.9,3.3,22.4,1110,18.7,0.539,0.365,0.408,1,9.1,5.2,35,1.1,1,12.1,31.9,1.7,1,2.7,0.115,2.5,-2.1,0.4,0.7
125,Donte DiVincenzo,SG,23,MIL,34,20,22.6,3.1,7.1,0.44,1.1,3.4,0.322,2.1,3.8,0.547,0.516,1,1.2,0.805,0.9,3.7,4.6,2.3,1.5,0.2,1.2,1.7,8.4,767,14.1,0.544,0.473,0.169,4.2,15.4,10.1,13,3,0.9,13.3,16.2,0.6,1.6,2.2,0.14,-0.2,2.3,2.1,0.8
126,Luka Dončić,PG,20,DAL,32,32,32.8,9.6,20.2,0.474,3.1,9.4,0.331,6.5,10.8,0.6,0.552,7.3,9.1,0.805,1.5,8.3,9.7,8.9,1.2,0.2,4.2,2.4,29.7,1049,31.7,0.612,0.467,0.451,4.8,25.5,15.4,48.4,1.8,0.4,14.8,37,4.9,1.4,6.3,0.289,11.4,2.3,13.6,4.1
127,Luguentz Dort,SG,20,OKC,7,0,16.4,1.1,3.6,0.32,0.1,2,0.071,1,1.6,0.636,0.34,0.9,1.4,0.6,0.1,1.3,1.4,0.4,0.3,0,0.4,2.6,3.3,115,0.9,0.391,0.56,0.4,1,8.4,4.8,3.5,0.9,0,9.3,12.4,-0.2,0.1,-0.1,-0.038,-5.3,-1.7,-6.9,-0.1
128,Damyean Dotson,SG,25,NYK,31,0,16.6,2.2,5.4,0.407,1,3.3,0.317,1.2,2.1,0.545,0.503,0.5,0.7,0.696,0.1,1.5,1.6,1.3,0.4,0.1,0.4,0.7,5.9,514,10.8,0.519,0.605,0.138,0.8,9.9,5.2,11.9,1.2,0.7,6.8,15.6,0.4,0.1,0.5,0.047,-0.9,-2.3,-3.2,-0.2
129,Sekou Doumbouya,SF,19,DET,11,4,14.3,2.2,4.8,0.453,0.5,1.7,0.263,1.7,3.1,0.559,0.5,0.7,1.2,0.615,0.5,2.5,2.9,0.2,0.6,0.2,0.5,1.9,5.5,157,10.6,0.519,0.358,0.245,3.6,19.2,11.4,1.9,2.2,1.1,7.8,17.5,0,0.1,0.1,0.045,-3.7,-1.9,-5.6,-0.1
130,Goran Dragić,PG,33,MIA,26,1,28.2,5.5,12.1,0.451,2.3,5.7,0.412,3.1,6.4,0.485,0.548,2.6,3.6,0.723,0.4,2.8,3.2,5,0.6,0.3,2.5,1.8,15.9,732,16.8,0.579,0.47,0.298,1.8,10.4,6.3,29.3,1.1,0.9,15.2,25.1,1.1,0.7,1.8,0.118,1.8,-2,-0.2,0.3
131,Andre Drummond,C,26,DET,36,35,33.8,7.1,13.5,0.529,0,0.5,0,7.1,13,0.55,0.529,3.3,5.1,0.636,4.4,11.6,16,2.7,2,1.9,3.6,3.8,17.5,1216,22.1,0.556,0.039,0.379,14.6,38.4,26.6,13,2.8,4.6,18.4,24.6,0.9,2.4,3.2,0.128,-1.4,4.6,3.2,1.6
132,Jared Dudley,SF,34,LAL,24,1,7.7,0.5,1.2,0.393,0.4,0.8,0.526,0,0.4,0.111,0.571,0.1,0.1,1,0.1,0.7,0.8,0.6,0.3,0,0.1,0.8,1.4,184,8.1,0.589,0.679,0.071,1.8,9.9,6,9.3,2.1,0.5,9.4,7.4,0.2,0.2,0.5,0.118,-1.1,0.6,-0.5,0.1
133,Kris Dunn,PG,25,CHI,37,18,24.1,2.9,6.8,0.423,0.5,2.1,0.234,2.4,4.8,0.506,0.458,0.7,1,0.722,0.5,2.9,3.5,3.3,2,0.4,1.1,3.5,7,893,11.7,0.48,0.304,0.142,2.2,13.5,7.6,20,4,1.4,13.5,14.7,0.1,1.6,1.7,0.093,-2.3,3.1,0.8,0.6
134,Carsen Edwards,SG,21,BOS,25,0,10.1,1.1,3.5,0.307,0.7,2.2,0.315,0.4,1.4,0.294,0.403,0.4,0.5,0.846,0.2,1.4,1.6,0.7,0.3,0.1,0.5,0.9,3.3,252,6.5,0.437,0.614,0.148,2.1,14.3,8.2,9.7,1.5,0.7,12.2,18.1,-0.3,0.4,0.1,0.018,-3.9,-0.8,-4.8,-0.2
135,Henry Ellenson,PF,23,BRK,5,0,3,0.2,1.4,0.143,0,0.8,0,0.2,0.6,0.333,0.143,0,0,,0.4,0.8,1.2,0.2,0,0,0,0.2,0.4,15,-1.1,0.143,0.571,0,13.9,26.3,20.3,8.9,0,0,0,19.4,-0.1,0,-0.1,-0.181,-9.8,-2.9,-12.8,0
136,Wayne Ellington,SG,32,NYK,20,1,13.9,1.4,4.4,0.31,1.1,3.7,0.301,0.3,0.7,0.357,0.437,0.2,0.3,0.667,0.1,1.6,1.6,0.9,0.4,0.1,0.7,1.1,4,277,5.1,0.446,0.839,0.069,0.4,12.1,6,9.2,1.2,0.7,12.7,15.7,-0.3,0.1,-0.2,-0.035,-3.3,-2.2,-5.6,-0.2
137,Joel Embiid,C,25,PHI,31,31,31.1,7.7,16.3,0.472,1.2,3.8,0.322,6.5,12.5,0.518,0.51,6.8,8.1,0.837,2.5,9.8,12.3,3.3,0.8,1.4,3,3.5,23.4,963,25.5,0.59,0.234,0.5,9.3,34.4,22.1,17.4,1.3,3.6,13.1,31.6,2.4,1.9,4.3,0.212,1.9,2.2,4.2,1.5
138,James Ennis,SF,29,PHI,37,0,17.8,2.3,5.2,0.45,0.9,2.5,0.363,1.4,2.7,0.53,0.537,1.1,1.4,0.774,1.2,2.3,3.4,0.9,0.5,0.3,0.6,2.1,6.6,659,12.8,0.574,0.476,0.277,7.4,13.9,10.7,7.3,1.2,1.5,10.1,15.5,0.9,0.8,1.8,0.128,0,-0.3,-0.3,0.3
