Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
17,Ryan Arcidiacono,PG,25,CHI,34,0,15,1.3,3.4,0.385,0.8,2,0.406,0.5,1.4,0.354,0.504,0.5,0.7,0.75,0.4,1.3,1.7,1.5,0.4,0.1,0.5,1.6,4,511,8.7,0.533,0.59,0.205,2.8,9.5,6,14.3,1.3,0.4,12.4,12,0.4,0.5,0.9,0.081,-2,-0.7,-2.7,-0.1
18,Trevor Ariza,SF,34,SAC,29,0,24.5,2,5.1,0.392,1.4,3.7,0.37,0.6,1.4,0.45,0.527,0.7,0.9,0.8,0.7,3.9,4.6,1.5,1.1,0.2,0.9,1.9,6.1,711,10,0.553,0.73,0.169,3.1,18.5,10.6,8.3,2.1,0.9,14.1,11.3,0.4,0.8,1.2,0.078,-1.2,1.1,0,0.4
19,D.J. Augustin,PG,32,ORL,37,6,26.1,3.3,8.4,0.397,1.2,3.5,0.344,2.1,4.9,0.434,0.468,2.8,3.1,0.888,0.4,2,2.4,4.9,0.7,0,1.4,1.1,10.6,965,14.8,0.544,0.413,0.374,1.5,8.4,4.8,28.1,1.4,0.1,12.4,18.6,1.5,0.8,2.3,0.116,0.3,-2,-1.6,0.1
20,Deandre Ayton,C,21,PHO,7,5,30.9,7.1,13.4,0.532,0,0.1,0,7.1,13.3,0.538,0.532,1.1,1.4,0.8,3.7,8.1,11.9,2.3,0.4,1.4,1.6,3.4,15.4,216,19.1,0.549,0.011,0.106,12.8,29.8,21,11.9,0.7,4,10.1,21.4,0.3,0.2,0.5,0.121,-1.6,1.5,-0.1,0.1
21,Dwayne Bacon,SG,24,CHO,29,10,17.3,2.2,6.8,0.332,0.5,1.8,0.264,1.8,4.9,0.357,0.367,1,1.4,0.69,0.4,2,2.4,1.2,0.7,0.1,0.9,1.3,6,501,6.2,0.403,0.27,0.214,2.5,13.4,7.7,10.7,1.9,0.4,10.4,20.8,-0.9,0.3,-0.7,-0.066,-6.2,-1.9,-8.2,-0.8
22,Marvin Bagley,PF,20,SAC,9,3,23.6,5.6,12.1,0.459,0.3,1.6,0.214,5.2,10.6,0.495,0.472,2.2,2.8,0.8,2,4.9,6.9,0.7,0.4,0.9,1.4,2.9,13.7,212,16.6,0.513,0.128,0.229,9.4,24.2,16.6,4.9,0.9,3.6,9.8,27.4,0,0.2,0.3,0.06,-4.5,-1.9,-6.4,-0.2
23,Lonzo Ball,PG,22,NOP,29,20,29,4.6,11.1,0.409,2.3,6.3,0.366,2.2,4.8,0.464,0.512,0.7,1.3,0.514,1.2,3.9,5.1,5.5,1.2,0.2,2.5,1.9,12.1,840,13.8,0.516,0.567,0.115,4.3,14.8,9.4,27.1,2,0.7,17.5,20.2,0.3,0.5,0.9,0.05,0.6,-0.4,0.2,0.5
24,Mo Bamba,C,21,ORL,33,0,15.5,2.3,5.2,0.45,0.7,2,0.333,1.7,3.2,0.524,0.515,0.4,0.6,0.65,1.5,3.8,5.3,0.6,0.3,1.3,0.9,1.9,5.7,511,15.3,0.526,0.386,0.117,9.6,26.6,17.9,6.4,1.1,7.8,14.7,17.9,0,1,1.1,0.099,-3.5,3.6,0,0.3
25,J.J. Barea,PG,35,DAL,11,3,16.3,3.5,8,0.443,1.5,3.3,0.444,2.1,4.7,0.442,0.534,0.5,0.5,1,0.4,1.5,1.8,3.5,0.3,0.1,1.4,0.5,9,179,17.1,0.549,0.409,0.057,2.4,9.1,5.8,33.3,0.8,0.5,14.3,25.1,0.3,0.1,0.4,0.106,1.1,-3.5,-2.4,0
26,Harrison Barnes,PF,27,SAC,38,38,35,5.2,11.6,0.446,1.4,3.9,0.354,3.8,7.7,0.493,0.506,3.6,4.6,0.798,0.9,3.9,4.9,2.2,0.7,0.2,1.3,1.2,15.3,1329,13.8,0.565,0.335,0.394,3,13.2,7.9,9.5,0.9,0.4,8.8,18.5,1.9,0.7,2.7,0.096,-0.2,-1.2,-1.4,0.2
